tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0021409,Under the Roofs of Paris,1930,96,"Comedy,Drama,Musical",7.1,2519
tt0021505,The Unholy Three,1930,72,"Crime,Drama,Romance",6.7,1432
tt0021508,Up the River,1930,92,"Comedy,Crime,Drama",5.9,1391
tt0021542,Westfront 1918,1930,75,"Drama,Romance,War",7.3,2487
tt0021549,Whoopee!,1930,93,"Comedy,Musical,Romance",6.4,1216
tt0021571,Earth,1930,75,Drama,7.2,6504
tt0021577,L'Age d'Or,1930,63,"Comedy,Drama",7.2,14952
tt0021622,Arrowsmith,1931,108,Drama,6.2,2032
tt0021633,The Bachelor Father,1931,90,"Comedy,Drama,Romance",6.4,1274
tt0021635,Bad Girl,1931,90,"Drama,Romance",6.4,1648
tt0021636,Bad Sister,1931,68,Drama,6.1,1531
tt0021668,The Black Camel,1931,71,"Crime,Mystery,Thriller",6.7,1681
tt0021673,Blonde Crazy,1931,79,"Comedy,Crime,Drama",7.1,2360
tt0021730,The Champ,1931,86,"Drama,Family,Sport",7.3,3682
tt0021739,La Chienne,1931,95,"Crime,Drama,Romance",7.5,4921
tt0021746,Cimarron,1931,123,"Drama,Western",5.8,7042
tt0021749,City Lights,1931,87,"Comedy,Drama,Romance",8.5,198476
tt0021750,City Streets,1931,83,"Crime,Drama,Film-Noir",7.0,1914
tt0021770,The Criminal Code,1930,97,"Crime,Drama,Romance",6.9,1428
tt0021778,"Dance, Fools, Dance",1931,80,"Crime,Drama,Romance",6.3,1296
tt0021800,Dishonored,1931,91,"Drama,Romance,War",7.2,3261
tt0021814,Dracula,1931,75,"Drama,Fantasy,Horror",7.4,59597
tt0021815,Drácula,1931,104,"Drama,Fantasy,Horror",7.0,5177
tt0021818,The Threepenny Opera,1931,104,"Comedy,Crime,Drama",7.2,2571
tt0021873,Five Star Final,1931,89,"Crime,Drama",7.3,2579
tt0021874,Five and Ten,1931,89,"Drama,Romance",6.4,1448
tt0021884,Frankenstein,1931,70,"Drama,Horror,Sci-Fi",7.8,80773
tt0021885,A Free Soul,1931,93,"Crime,Drama,Romance",6.6,2967
tt0021890,The Front Page,1931,101,"Comedy,Crime,Drama",6.7,3519
tt0021985,"Hyppolit, the Butler",1931,72,Comedy,7.7,1778
tt0021992,Illicit,1931,79,"Drama,Romance",6.1,1173
tt0022000,Indiscreet,1931,92,"Comedy,Musical,Romance",6.2,1563
tt0022017,Comradeship,1931,93,Drama,7.5,1793
tt0022054,The Last Flight,1931,76,Drama,6.9,1403
tt0022074,The Smiling Lieutenant,1931,93,"Comedy,Musical,Romance",7.1,4163
tt0022080,Limit,1931,114,"Drama,Romance",7.0,2943
tt0022100,M,1931,99,"Crime,Mystery,Thriller",8.3,170826
tt0022111,The Maltese Falcon,1931,80,"Crime,Drama,Film-Noir",6.8,3390
tt0022119,Man of the World,1931,74,"Drama,Romance",6.1,1099
tt0022125,Marius,1931,130,"Comedy,Drama,Romance",7.8,2640
tt0022150,Le Million,1931,91,"Comedy,Musical",7.3,3876
tt0022153,The Miracle Woman,1931,90,"Drama,Romance",7.2,2386
tt0022158,Monkey Business,1931,77,"Comedy,Family,Musical",7.4,14380
tt0022183,Mädchen in Uniform,1931,87,"Drama,Romance",7.6,3875
tt0022208,Night Nurse,1931,72,"Comedy,Crime,Drama",7.0,4622
tt0022236,Other Men's Women,1930,71,"Drama,Romance",6.4,1412
tt0022251,Pardon Us,1931,56,"Comedy,Crime,Drama",6.8,2860
tt0022254,"Parlor, Bedroom and Bath",1931,73,Comedy,6.1,1026
tt0022264,The Phantom of Paris,1931,74,"Drama,Thriller",6.5,1415
tt0022268,Platinum Blonde,1931,89,"Comedy,Romance",6.8,3606
tt0022276,Possessed,1931,76,"Drama,Romance",6.9,2383
tt0022279,Private Lives,1931,84,"Comedy,Drama,Romance",6.7,1375
tt0022286,The Public Enemy,1931,83,"Crime,Drama",7.6,23334
tt0022335,Safe in Hell,1931,73,"Crime,Drama,Romance",6.9,2087
tt0022357,The Secret 6,1931,83,"Crime,Drama",6.3,1104
tt0022386,The Sin of Madelon Claudet,1931,75,"Crime,Drama,Romance",6.6,1152
tt0022395,The Skin Game,1931,85,Drama,5.7,3625
tt0022397,Skippy,1931,85,"Comedy,Drama,Family",6.3,1021
tt0022403,Smart Money,1931,81,"Crime,Drama",6.8,2272
tt0022436,Street Scene,1931,80,"Drama,Romance",7.6,2151
tt0022453,Susan Lenox (Her Fall and Rise),1931,76,"Drama,Romance",6.3,1374
tt0022454,Svengali,1931,81,"Drama,Horror,Romance",6.8,2572
tt0022458,Tabu: A Story of the South Seas,1931,86,"Adventure,Drama,Romance",7.4,6491
tt0022485,Tokyo Chorus,1931,90,"Comedy,Drama",7.1,1600
tt0022489,Tonight or Never,1931,80,"Comedy,Romance",6.6,1652
tt0022495,Trader Horn,1931,122,"Action,Adventure,Drama",6.1,1136
tt0022550,Waterloo Bridge,1931,81,"Drama,Romance",7.4,3250
